degree,average 1,std 1,count 1,average 2,std 2,count 2,average 3,std 3,count 3,average 4,std 4,count 4,average 5,std 5,count 5,average 6,std 6,count 6,average 7,average 8,std 8,count 8,average 9,average 10,std 10,count 10,average 11,average 12,std 12,count 12,average 13,average 14,std 14,count 14,average 15,std 15,count 15,average 16,std 16,count 16
0,-48.54545455,0.500783086,88,-48,0,69,-48,0,130,-50,0,105,-52,0,174,-55.19090909,0.394816286,110,-69,-61,0,283,-55,-52,0,81,-51,-50,0,90,-49,-48,0,63,-47.94186047,0.235379601,86,-48.25153374,0.435231715,163
30,-49,0,85,-49,0,66,-49,0,97,-50,0,98,-52,0,93,-55,0,88,-69,-62.17777778,0.384467464,90,-56,-53,0,91,-51,-50,0,79,-49,-48,0,94,-48,0,82,-49.5297619,0.500605564,168
60,-50.01075269,0.103695169,93,-50,0,122,-50.06666667,0.250841281,90,-51,0,68,-53.65384615,0.478822231,78,-58,0,78,,-64.38823529,0.490240894,85,-56,-54.07368421,0.262642272,95,-52,-51,0,69,-50,-50.96052632,0.196012889,76,-50,0,93,-51.02150538,0.145453224,186
90,-49.98701299,0.113960576,77,-49,0,92,-50,0,93,-52,0,142,-54.08421053,0.279176521,95,-58.96875,0.17490599,96,,-64,0,75,-56,-54.98809524,0.109108945,84,-52,-51,0,72,-50,-50,0,73,-50,0,86,-50.08695652,0.282650499,161
120,-50,0,86,-49,0,95,-50,0,99,-52.01,0.1,100,-53,0,309,-56.93406593,0.249541704,91,,-61,0,95,-56,-53,0,109,-52,-51,0,69,-50,-49.62195122,0.487883914,82,-49,0,79,-50,0,153
150,-49,0,89,-49,0,79,-49,0,95,-51.98947368,0.102597835,95,-52,0,92,-54.9875,0.111803399,80,-69,-59,0,95,-55,-52.46296296,0.499784622,216,-52,-49,0,66,-48,-48,0,71,-48,0,126,-48.04402516,0.234545398,159
180,-48.04225352,0.20259881,71,-48,0,93,-48.83333333,0.374765844,90,-51,0,102,-51.82666667,0.381084276,75,-54.73863636,0.441895556,88,-69,-58.88,0.326598632,100,-55,-52.02798708,0.165024606,929,-50,-48,0,99,-47.5,-47,0,87,-47,0,87,-48.98684211,0.114327409,152
210,-49,,,-49,0,89,-49,0,84,-51,0,87,-52,0,84,-55,0,95,,-61,0,74,-55,-54,0,71,-50,-49,0,83,-48,-48,0,76,-48,0,97,-49.07100592,0.337602974,169
240,-49,,,-49,0,83,-49.82432432,0.383141596,74,-51,0,94,-53,0,144,-56,0,93,,-63,0,77,-56,-54.17977528,0.386175824,89,-50,-51,0,76,-50,-50,0,63,-49.9875,0.111803399,80,-49.96296296,0.189438165,162
270,-49,,,-49,0,87,-50,0,86,-51,0,79,-53.92134831,0.270719542,89,-57,0,98,,-62.05263158,0.224481485,95,-56,-54,0,87,-52,-51,0,69,-50,-50,0,53,-49.23611111,0.427671572,72,-51.11111111,0.315524255,126
300,-48,,,-49,0,88,-50,0,85,-51,0,87,-52,0,84,-56,0,77,-69,-61.19277108,0.396872878,83,-56,-53,0,107,-51,-50.09859155,0.30023465,71,-50,-50,0,89,-49,0,58,-49.05617978,0.230918117,178
330,-48,,,-48.1122449,0.317290496,98,-49,0,89,-51,0,58,-51.05555556,0.230344691,90,-55.96907216,0.174021565,97,-69,-60.92920354,0.25762702,113,-55,-52,0,76,-51,-49,0,70,-49,-49,0,79,-48,0,87,-50,0,173